"Condition","Group","Organ","Query","Celltype","predicted_cell_type","match","explanation"
"Group","Bone Marrow","RespiratoryImmune","noquery","plasma cell","Can't Identify","No Match","The predicted inability to identify does not match the specific annotation."
"Group","Bone Marrow","RespiratoryImmune","query","plasma cell","Can't Identify","No Match","The predicted inability to identify does not match the specific annotation."
"Organ","Bone Marrow","RespiratoryImmune","noquery","plasma cell","Can't Identify","No Match","The predicted inability to identify does not match the specific annotation."
"Organ","Bone Marrow","RespiratoryImmune","query","plasma cell","Can't Identify","No Match","The predicted inability to identify does not match the specific annotation."
"All","Bone Marrow","RespiratoryImmune","noquery","hematopoietic stem cell","Can't Identify","No Match","The predicted inability to identify does not match the specific annotation."
"All","Bone Marrow","RespiratoryImmune","query","hematopoietic stem cell","Can't Identify","No Match","The predicted inability to identify does not match the specific annotation."
"Group","Bone Marrow","RespiratoryImmune","noquery","hematopoietic stem cell","Can't Identify","No Match","The predicted inability to identify does not match the specific annotation."
"Group","Bone Marrow","RespiratoryImmune","query","hematopoietic stem cell","Can't Identify","No Match","The predicted inability to identify does not match the specific annotation."
"Organ","Bone Marrow","RespiratoryImmune","noquery","hematopoietic stem cell","Can't Identify","No Match","The predicted inability to identify does not match the specific annotation."
"Organ","Bone Marrow","RespiratoryImmune","query","hematopoietic stem cell","Can't Identify","No Match","The predicted inability to identify does not match the specific annotation."
"All","Bone Marrow","RespiratoryImmune","noquery","erythroid progenitor","Can't Identify","No Match","The prediction does not provide a recognizable cell type."
"All","Bone Marrow","RespiratoryImmune","query","erythroid progenitor","Can't Identify","No Match","The prediction does not provide a recognizable cell type."
"Group","Bone Marrow","RespiratoryImmune","noquery","erythroid progenitor","Can't Identify","No Match","The prediction does not provide a recognizable cell type."
"Group","Bone Marrow","RespiratoryImmune","query","erythroid progenitor","Can't Identify","No Match","The prediction does not provide a recognizable cell type."
"Organ","Bone Marrow","RespiratoryImmune","noquery","erythroid progenitor","Can't Identify","No Match","The prediction does not provide a recognizable cell type."
"Organ","Bone Marrow","RespiratoryImmune","query","erythroid progenitor","Can't Identify","No Match","The prediction does not provide a recognizable cell type."
"All","Bone Marrow","RespiratoryImmune","noquery","nk cell","Natural Killer Cell","Match","""Natural Killer Cell"" is an alternative term for ""nk cell""."
"All","Bone Marrow","RespiratoryImmune","query","nk cell","Can't Identify","No Match","The prediction does not provide a recognizable cell type."
"Group","Bone Marrow","RespiratoryImmune","noquery","nk cell","Natural Killer Cell","Match","""Natural Killer Cell"" is an alternative term for ""nk cell""."
"Group","Bone Marrow","RespiratoryImmune","query","nk cell","Can't Identify","No Match","The prediction does not provide a recognizable cell type."
"Organ","Bone Marrow","RespiratoryImmune","noquery","nk cell","Can't Identify","No Match","The prediction does not specify a cell type for comparison."
"Organ","Bone Marrow","RespiratoryImmune","query","nk cell","Can't Identify","No Match","The prediction does not specify a cell type for comparison."
"All","Bone Marrow","RespiratoryImmune","noquery","granulocyte","Can't Identify","No Match","The prediction does not specify a cell type for comparison."
"All","Bone Marrow","RespiratoryImmune","query","granulocyte","Can't Identify","No Match","The prediction does not specify a cell type for comparison."
"Group","Bone Marrow","RespiratoryImmune","noquery","granulocyte","Neutrophil","Partial Match","Neutrophils are a specific type of granulocyte."
"Group","Bone Marrow","RespiratoryImmune","query","granulocyte","Neutrophil","Partial Match","Neutrophils are a specific type of granulocyte."
"Organ","Bone Marrow","RespiratoryImmune","noquery","granulocyte","Can't Identify","No Match","The prediction does not specify a cell type for comparison."
"Organ","Bone Marrow","RespiratoryImmune","query","granulocyte","Can't Identify","No Match","The prediction does not specify a cell type for comparison."
"All","Bone Marrow","RespiratoryImmune","noquery","naive b cell","Neutrophils","No Match","Naive B cells and neutrophils are distinct cell types."
"All","Bone Marrow","RespiratoryImmune","query","naive b cell","Neutrophils","No Match","Naive B cells and neutrophils are distinct cell types."
"Group","Bone Marrow","RespiratoryImmune","noquery","naive b cell","Can't Identify","No Match","The prediction cannot be directly compared to a specific cell type."
"Group","Bone Marrow","RespiratoryImmune","query","naive b cell","Can't Identify","No Match","The prediction cannot be directly compared to a specific cell type."
"Organ","Bone Marrow","RespiratoryImmune","noquery","naive b cell","Can't Identify","No Match","The prediction cannot be directly compared to a specific cell type."
"Organ","Bone Marrow","RespiratoryImmune","query","naive b cell","Can't Identify","No Match","The prediction cannot be directly compared to a specific cell type."
"All","Bone Marrow","RespiratoryImmune","noquery","macrophage","Can't Identify","No Match","The prediction cannot be directly compared to a specific cell type."
"All","Bone Marrow","RespiratoryImmune","query","macrophage","Can't Identify","No Match","The prediction cannot be directly compared to a specific cell type."
"Group","Bone Marrow","RespiratoryImmune","noquery","macrophage","Can't Identify","No Match","The prediction cannot be directly compared to a specific cell type."
"Group","Bone Marrow","RespiratoryImmune","query","macrophage","Can't Identify","No Match","The prediction cannot be directly compared to a specific cell type."
"Organ","Bone Marrow","RespiratoryImmune","noquery","macrophage","Macrophage","Match","The predicted and actual cell types are the same."
"Organ","Bone Marrow","RespiratoryImmune","query","macrophage","Macrophage","Match","The predicted and actual cell types are the same."
"All","Bone Marrow","RespiratoryImmune","noquery","myeloid progenitor","Can't Identify","No Match","The predicted type is non-informative and lacks specificity."
"All","Bone Marrow","RespiratoryImmune","query","myeloid progenitor","Can't Identify","No Match","The predicted type is non-informative and lacks specificity."
"Group","Bone Marrow","RespiratoryImmune","noquery","myeloid progenitor","Can't Identify","No Match","The predicted type is non-informative and lacks specificity."
"Group","Bone Marrow","RespiratoryImmune","query","myeloid progenitor","Can't Identify","No Match","The predicted type is non-informative and lacks specificity."
"Organ","Bone Marrow","RespiratoryImmune","noquery","myeloid progenitor","Can't Identify","No Match","The predicted type is non-informative and lacks specificity."
"Organ","Bone Marrow","RespiratoryImmune","query","myeloid progenitor","Can't Identify","No Match","The predicted type is non-informative and lacks specificity."
"All","Bone Marrow","RespiratoryImmune","noquery","memory b cell","Neutrophils","No Match","Memory B cells and neutrophils are distinct immune cell types."
"All","Bone Marrow","RespiratoryImmune","query","memory b cell","Neutrophils","No Match","Memory B cells and neutrophils are distinct immune cell types."
"Group","Bone Marrow","RespiratoryImmune","noquery","memory b cell","Neutrophils","No Match","Memory B cells and neutrophils are distinct immune cell types."
"Group","Bone Marrow","RespiratoryImmune","query","memory b cell","Neutrophils","No Match","Memory B cells and neutrophils are distinct immune cell types."
"Organ","Bone Marrow","RespiratoryImmune","noquery","memory b cell","B cells","Partial Match","Memory B cells are a subtype of B cells."
"Organ","Bone Marrow","RespiratoryImmune","query","memory b cell","B cells","Partial Match","Memory B cells are a subtype of B cells."
"All","Bone Marrow","RespiratoryImmune","noquery","cd8-positive, alpha-beta t cell","Can't Identify","No Match","The prediction does not identify or categorize the specific T cell type."
"All","Bone Marrow","RespiratoryImmune","query","cd8-positive, alpha-beta t cell","Can't Identify","No Match","The prediction does not identify or categorize the specific T cell type."
"Group","Bone Marrow","RespiratoryImmune","noquery","cd8-positive, alpha-beta t cell","Can't Identify","No Match","The prediction does not identify or categorize the specific T cell type."
"Group","Bone Marrow","RespiratoryImmune","query","cd8-positive, alpha-beta t cell","Can't Identify","No Match","The prediction does not identify or categorize the specific T cell type."
"Organ","Bone Marrow","RespiratoryImmune","noquery","cd8-positive, alpha-beta t cell","Can't Identify","No Match","The prediction does not identify or categorize the specific T cell type."
"Organ","Bone Marrow","RespiratoryImmune","query","cd8-positive, alpha-beta t cell","Can't Identify","No Match","The prediction does not identify or categorize the specific T cell type."
"All","Bone Marrow","RespiratoryImmune","noquery","cd4-positive, alpha-beta t cell","Neutrophils","No Match","Neutrophils are a distinct cell type unrelated to CD4-positive T cells."
"All","Bone Marrow","RespiratoryImmune","query","cd4-positive, alpha-beta t cell","Neutrophils","No Match","Neutrophils are a distinct cell type unrelated to CD4-positive T cells."
"Group","Bone Marrow","RespiratoryImmune","noquery","cd4-positive, alpha-beta t cell","Can't Identify","No Match","The prediction does not identify a specific cell type for the annotated T cell subtype."
